case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,n,res,dres
bfwa398,0,4,0,4,398,0.009863955735802765,0.005401368443660514
bfwa62,0,3,0,2,62,0.00012322756767249696,0.0037963533769915445
bfwa782,0,4,0,4,782,0.005128703948147974,0.002292973838101326
bwm200,0,4,0,2,200,0.003614157440703913,0.003232419884888514
bwm2000,0,12,0,9,2000,0.004248488546239601,0.003928568633392956
cdde1,0,6,0,6,961,0.002809550305860045,0.0016566434778371
cdde2,0,2,0,2,961,0.0011115592306001636,0.00041525412629897415
cdde3,0,6,0,6,961,0.0024069551516605328,0.000914871263191734
cdde4,0,2,0,2,961,0.0016084385549420945,0.0005672714519399525
cdde5,0,5,0,5,961,0.005028992643289171,0.005167562989235499
cdde6,0,2,0,2,961,0.005061168880443253,0.0017876365923642451
ck104,0,4,0,3,104,0.0019914312672482917,0.0036545080281058743
ck400,0,6,0,6,400,0.0018136468404263608,0.0011070205999205523
ck656,0,7,0,7,656,0.00033360417393550786,0.0010399847700853632
dw1024,0,2,0,2,2048,0.001081438165142052,0.004420820059348741
dw256A,0,3,0,3,512,0.00042222092454379564,0.001141665195786264
dw256B,0,2,0,2,512,6.218808171654601e-6,7.685341785892257e-6
dw4096,0,83,0,80,8192,134.95920258285722,301.81865067163375
lop163,0,3,0,3,163,0.0055358543108399855,0.008365378593922963
mhda416,0,71,0,19,416,127263.92192438198,160914.52284098172
odepa400,0,1,0,1,400,1.3423408847222122e-10,1.1018932904853181e-10
olm100,0,1,0,1,100,9.0221452849805e-14,1.6098999300555292e-13
olm1000,0,17,0,16,1000,0.0005217014730957202,0.005739588030392015
olm2000,0,18,0,18,2000,0.002510672306844194,0.007773432929870804
olm500,0,2,0,2,500,6.54315488017101e-12,8.334316070093106e-12
olm5000,0,18,0,16,5000,0.009696205585946305,0.005236106578296744
pde225,0,2,0,2,225,0.000510435726016774,0.00021897459074408313
pde2961,0,5,0,4,2961,0.00035582062827207425,0.0020329236424644244
pde900,0,3,0,3,900,0.0009946005838212812,0.0001480955936787968
qh882,0,1,0,1,882,NaN,NaN
rbsa480,0,71,0,59,480,646.6097351358204,343.58341949254657
rbsb480,0,50,0,172,480,7874.427842908838,324.0264612461444
rdb2048,0,3,0,2,2048,0.006142120520575313,0.003303341931772701
rdb5000,0,5,0,3,5000,0.007476582094437008,0.00877947142073446
rdb968,0,3,0,2,968,0.0009756331082696407,0.0014411875691297399
rw136,0,1,0,1,136,NaN,NaN
rw496,0,4,0,31,496,336180.32196623366,2.6081921863253438e8
rw5151,0,1,0,1,5151,NaN,NaN
tub100,0,4,0,3,100,0.0005631464033732756,0.000586384731227717
tub1000,0,8,0,6,1000,0.0057757450931580296,0.0005113708539734649
