bfwa398	95	94	5	44	398
bfwa62	38	36	2	14	62
bfwa782	283	248	4	135	782
bwm200	91	98	4	60	200
bwm2000	1034	944	4000	4000	2000
cdde1	95	95	6	18	961
cdde2	96	96	2	167	961
cdde3	200	171	6	31	961
cdde4	99	101	2	97	961
cdde5	767	752	6	52	961
cdde6	126	126	2	69	961
ck104	83	91	4	138	104
ck400	265	793	6	179	400
ck656	418	951	7	1109	656
dw1024	1789	1589	3	10	2048
dw256A	704	651	3	127	512
dw256B	5	5	2	3	512
dw4096	8860	16384	16384	10792	8192
lop163	140	326	3	326	163
mhda416	832	832	1	1	416
odepa400	431	436	1	4	400
olm100	200	200	1	200	100
olm1000	2000	1121	48	2000	1000
olm2000	4000	2267	72	4000	2000
olm500	1000	1000	39	1000	500
olm5000	10000	8259	120	780	5000
pde225	48	44	2	129	225
pde2961	138	123	4	187	2961
pde900	71	69	3	66	900
qh882	103	111	1	1	882
rbsa480	58	78	58	960	480
rbsb480	51	128	960	960	480
rdb2048	570	419	4	392	2048
rdb5000	709	978	5	852	5000
rdb968	591	293	3	295	968
rw136	148	98	1	1	136
rw496	63	56	992	992	496
rw5151	125	1845	1	1	5151
tub100	101	103	4	69	100
tub1000	1246	1118	10	124	1000
cryg10000	328	152	188	17979	10000
cryg2500	2887	4746	46	1971	2500
dw2048	1789	1589	3	10	2048
dw8192	8860	16384	16384	10792	8192
dwa512	704	651	3	127	512
dwb512	5	5	2	3	512
mhd3200a	2481	2788	1	1	3200
mhd4800a	1986	2730	1	1	4800
qh1484	54	55	1	1	1484
qh768	74	54	1	1	768
rdb1250	97	68	4	2388	1250
rdb1250l	676	517	3	2500	1250
rdb200	43	49	2	400	200
rdb200l	39	124	3	357	200
rdb2048_noL	105	102	5	325	2048
rdb3200l	518	697	4	393	3200
rdb450	75	64	3	488	450
rdb450l	171	130	3	900	450
rdb800l	618	283	3	739	800
tols1090	98	913	1	1	1090
tols2000	111	1050	1	4000	2000
tols340	329	419	1	1	340
tols4000	184	412	1	1	4000
tols90	68	180	1	1	90
